,Control_1_B,Control_2_B,Control_3_B,AA_1_B,AA_2_B,AA_3_B,AAAb_1_B,AAAb_2_B
EX_cpd04098_m,1.9636246346651637e-18,-5.549690727449778e-19,9.812025913751515e-17,1.6990707019148666e-16,2.1127188673352924e-14,2.359707031206281e-18,3.2987810084538746e-18,1.9386510781123204e-15
EX_cpd00063_m,2.658825129887993e-14,-9.484438503409019e-10,7.853370179547227e-16,-6.452519250016597e-17,1.9465340423987408e-15,-1.0003076372119174e-12,1.786926308985649e-14,-1.4408445645655843e-09
EX_cpd01012_m,9.556807449190123e-14,9.093855295313631e-13,3.063838419344052e-15,1.1138422984492696e-15,-1.7106398377121588e-15,2.4749295801126846e-14,3.589089540016307e-14,1.1360264543263827e-16
EX_cpd00058_m,1.1945133574480844e-13,-9.49896318075949e-10,1.7995766775385695e-14,1.9103864467332107e-15,2.713863142068602e-14,-4.0060971027256016e-13,2.689176848352403e-13,1.6241005156419074e-09
EX_cpd10515_m,2.782708443002822e-12,-1.2651208610655837e-05,-5.19577843675582e-07,2.128181293568154e-06,-1.5193157379054583e-06,-9.31496892491944e-06,-2.504805361490935e-07,-1.1570669495927577e-10
EX_cpd00047_m,0.0028890583136256254,-0.002236307179163788,0.0013507370098890803,0.0016537195860415466,0.000864050513030179,0.0010979795440988482,0.0026834556367205664,-0.007763225488240266
EX_cpd00082_m,-0.0007559748189195203,-0.0035064694390030127,-0.0004904952778952421,-0.0002303342937093819,-0.00031524147976146055,-0.0009830313544361268,-0.00020511876433876308,-0.0035523921446738924
EX_cpd00106_m,-0.0002789802014575571,3.134883820576917e-05,-0.0003760172669062811,0.0006181201078137022,-0.00013458037909241938,-0.0001899764946093896,0.00010805544055880745,0.00017867719001429805
EX_cpd00222_m,-0.0007947532870781291,-0.0006471629729029801,-0.0006078155476002701,-0.0006404794569198902,-0.000488603585274399,-0.0007248442958360454,-0.00034592558738427703,-0.00039741005945839736
EX_cpd00205_m,2.439897788289631e-14,-1.125565962146309e-05,7.929850537054807e-14,6.347087314960961e-13,8.996467443785283e-11,3.5549284650782466e-14,-1.2351306965950578e-13,-1.4987914884039406e-07
